Endogenous Driver Analysis,,,,
Driver Analysis,,Driver,Code,Source
Leading Indicators Surveys,,PMI Manifacturing Index,PMI Manifacturing Index (Markit),https://www.investing.com/economic-calendar/markit-composite-pmi-1491
,,NMI Non Manifacturing,PMI Services Index (Markit),https://www.investing.com/economic-calendar/services-pmi-272
,,Consumer Sentiment Index,Consumer Confidence Indicator (ECBCS),https://www.quandl.com/api/v3/datasets/ECBCS/ESI_ALL_MS_EA.xml?api_key=API_KEY
,,Building Permits,Building Permits / dwellings (ECB),https://sdw.ecb.europa.eu/quickviewexport.do;jsessionid=API_KEY_TO_ADD?SERIES_KEY=132.STS.M.I8.S.BPER.CC1109.4.000&type=xls
Money Supply,,Broad Money M2,M2 Broad Money (current LCU),https://fred.stlouisfed.org/graph/fredgraph.csv?bgcolor=%23e1e9f0&chart_type=line&drp=0&fo=open%20sans&graph_bgcolor=%23ffffff&height=450&mode=fred&recession_bars=off&txtcolor=%23444444&ts=12&tts=12&width=1168&nt=0&thu=0&trc=0&show_legend=yes&show_axis_titles=yes&show_tooltip=yes&id=MYAGM2EZM196N&scale=left&cosd=1980-01-01&coed=2017-03-01&line_color=%234572a7&link_values=false&line_style=solid&mark_type=none&mw=3&lw=2&ost=-99999&oet=99999&mma=0&fml=a&fq=Monthly&fam=avg&fgst=lin&fgsnd=2009-06-01&line_index=1&transformation=lin&vintage_date=2019-12-19&revision_date=2019-12-19&nd=1980-01-01
Interest Rates,,Interest Rates %,Euro Area Interest Rates (Swiss National Bank),https://www.quandl.com/api/v3/datasets/SNB/SNBOFFZISA.xml?api_key=API_KEY
Inflation,,Consumer and Business Inflation,CPI (Inflation Rates),https://www.quandl.com/api/v3/datasets/RATEINF/CPI_EUR.xml?api_key=API_KEY
,,,PPI Industrial Producer Price (Exl Construction),http://sdw.ecb.europa.eu/quickviewexport.do;jsessionid=API_KEY_TO_ADD?SERIES_KEY=132.STS.M.I8.N.PRIN.NS0020.4.000&type=xls
Employment,,Employment,Total Labor Force (World Bank),https://www.quandl.com/api/v3/datasets/WWDI/EMU_SL_TLF_TOTL_IN.xml?api_key=API_KEY
,,Central Government Debt to GDP Ratio % (ECB),Debt To Gdp Ratio,https://sdw.ecb.europa.eu/quickviewexport.do?SERIES_KEY=325.GFS.Q.N.I8.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T&type=csv
