Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2019-12-13,3181.1,3187.6,3161.0,3174.0,4.2,3175.2,2350.0,2404.0
2019-12-12,3172.7,3179.0,3143.0,3171.0,25.2,3171.0,3426.0,1085.0
2019-12-11,3138.5,3145.0,3138.5,3145.0,7.5,3145.8,1062.0,362.0
2019-12-10,3140.5,3142.0,3132.0,3136.0,1.6,3138.3,187.0,204.0
2019-12-09,3150.0,3150.5,3135.0,3137.0,11.4,3136.7,42.0,201.0
2019-12-06,3148.5,3148.5,3148.5,3148.5,28.8,3148.1,5.0,206.0
2019-12-05,3110.5,3113.0,3107.0,3110.5,6.5,3119.3,9.0,184.0
2019-12-04,,3117.0,,3117.0,19.9,3112.8,0.0,201.0
2019-12-03,3084.0,3088.0,3084.0,3088.0,23.2,3092.9,44.0,249.0
2019-12-02,3123.5,3123.5,3116.0,3121.0,29.7,3116.1,164.0,184.0
2019-11-29,,,,,10.2,3145.8,80.0,258.0
2019-11-27,,,,,10.2,3156.0,160.0,263.0
2019-11-26,,,,,11.0,3145.8,0.0,243.0
2019-11-25,,,,,21.2,3134.8,80.0,171.0
2019-11-22,,,,,7.7,3113.6,0.0,179.0
2019-11-21,,,3098.0,3100.0,5.3,3105.9,16.0,156.0
2019-11-20,3108.5,3108.5,3108.5,3108.5,9.5,3111.2,150.0,1.0
2019-11-19,,,,,3.3,3120.7,0.0,4.0
2019-11-18,,,,,3.4,3124.0,0.0,1.0
2019-11-15,,,,,21.4,3120.6,0.0,1.0
2019-11-14,,,,,1.2,3099.2,0.0,1.0
2019-11-13,,,,,3.7,3098.0,0.0,1.0
2019-11-12,,,,,4.5,3094.3,0.0,5.0
2019-11-11,,,,,3.1,3089.8,0.0,6.0
2019-11-08,,,,,4.7,3092.9,0.0,1.0
2019-11-07,,,,,10.5,3088.2,0.0,1.0
2019-11-06,,,,,3.7,3077.7,0.0,1.0
2019-11-05,3081.0,3081.0,3081.0,3081.0,3.8,3074.0,5.0,0.0
2019-11-04,,,,,12.7,3077.8,0.0,0.0
2019-11-01,3060.0,3060.0,3060.0,3060.0,27.8,3065.1,1.0,1.0
2019-10-31,,,,,12.5,3037.3,0.0,1.0
2019-10-30,,,,,12.2,3049.8,0.0,1.0
2019-10-29,,,,,0.7,3037.6,0.0,2.0
2019-10-28,,,,,16.3,3038.3,0.0,1.0
2019-10-25,,,,,16.3,3022.0,0.0,1.0
2019-10-24,,,,,1.5,3005.7,0.0,6.0
2019-10-23,,,,,11.3,3007.2,0.0,6.0
2019-10-22,3009.0,3010.5,3009.0,3010.5,12.0,2995.9,5.0,0.0
2019-10-21,,,,,18.4,3007.9,0.0,0.0
2019-10-18,,,,,10.0,2989.5,0.0,0.0
2019-10-17,,,,,6.6,2999.5,0.0,4.0
2019-10-16,,,,,6.2,2992.9,1.0,0.0
2019-10-15,,,,,32.5,2999.1,0.0,2.0
2019-10-14,,,,,5.5,2966.6,0.0,2.0
2019-10-11,,,,,30.4,2972.1,101.0,86.0
2019-10-10,,,,,22.5,2941.7,0.0,86.0
2019-10-09,,,,,26.4,2919.2,0.0,86.0
2019-10-08,,,,,45.4,2892.8,0.0,86.0
2019-10-07,,,,,13.6,2938.2,0.0,86.0
2019-10-04,,,,,39.7,2951.8,0.0,86.0
2019-10-03,,,,,30.7,2912.1,0.0,86.0
2019-10-02,,,,,57.7,2881.4,0.0,100.0
2019-10-01,,,,,41.5,2939.1,90.0,56.0
2019-09-30,,,,,14.8,2980.6,0.0,56.0
2019-09-27,,,,,16.9,2965.8,0.0,56.0
2019-09-26,,,,,5.9,2982.7,0.0,56.0
2019-09-25,,,,,16.4,2988.6,0.0,112.0
2019-09-24,,,,,27.1,2972.2,180.0,5.0
2019-09-23,,,,,7.2,2999.3,0.0,5.0
2019-09-20,3015.0,3015.0,2997.0,2997.0,18.7,2992.1,5.0,0.0
2019-09-19,3008.3,3024.3,2991.7,3008.5,0.7,3007.9,1332.0,13158.0
2019-09-18,3004.2,3012.6,2981.0,3008.3,0.7,3008.6,2717.0,11465.0
2019-09-17,3005.5,3009.0,2994.6,3007.3,6.4,3007.9,6078.0,8458.0
2019-09-16,2994.4,3005.1,2984.0,3002.0,7.1,3001.5,8515.0,2373.0
2019-09-13,3019.7,3025.3,3006.5,3008.5,5.1,3008.6,1900.0,1488.0
2019-09-12,3010.5,3021.0,3004.0,3013.5,10.0,3013.7,1604.0,648.0
2019-09-11,2983.5,3003.0,2983.5,3003.0,23.5,3003.7,109.0,599.0
2019-09-10,,,,,0.4,2980.2,20.0,591.0
2019-09-09,2974.5,2985.5,2974.5,2979.0,2.4,2979.8,232.0,532.0
2019-09-06,,2977.0,,2977.0,8.9,2982.2,25.0,546.0
2019-09-05,,2986.5,,2974.5,33.9,2973.3,119.0,484.0
2019-09-04,2931.0,2931.0,2931.0,2931.0,33.0,2939.4,28.0,495.0
2019-09-03,2905.0,2907.0,2895.0,2905.0,19.2,2906.4,98.0,437.0
2019-08-30,,,,,1.9,2925.6,273.0,164.0
2019-08-29,2917.5,2923.5,2917.5,2923.5,37.2,2927.5,12.0,165.0
2019-08-28,,,,,24.4,2890.3,10.0,161.0
2019-08-27,,,,,18.0,2865.9,0.0,161.0
2019-08-26,,,,,28.0,2883.9,0.0,161.0
2019-08-23,,,,,67.2,2855.9,0.0,161.0
2019-08-22,,,,,6.9,2923.1,0.0,161.0
2019-08-21,,,,,31.3,2930.0,0.0,161.0
2019-08-20,,,,,25.5,2898.7,0.0,161.0
2019-08-19,,,,,32.5,2924.2,0.0,161.0
2019-08-16,,,,,43.1,2891.7,0.0,161.0
2019-08-15,,,,,7.6,2848.6,149.0,10.0
2019-08-14,,,,,91.8,2841.0,4.0,8.0
2019-08-13,2935.0,2935.0,2935.0,2935.0,52.3,2932.8,5.0,8.0
2019-08-12,,,,,39.7,2880.5,0.0,8.0
2019-08-09,,,,,20.4,2920.2,0.0,8.0
2019-08-08,,,,,60.1,2940.6,0.0,8.0
2019-08-07,,,,,4.0,2880.5,0.0,8.0
2019-08-06,,,,,45.9,2876.5,0.0,8.0
2019-08-05,,,,,103.4,2830.6,0.0,8.0
