Driver Analysis,,Driver,Code,Source
Leading Indicators Surveys,,PMI Manufacturing Index,PMI Manifacturing Index (Markit),https://www.investing.com/economic-calendar/ivey-pmi-185
,,Consumer Sentiment Index,Consumer Confidence Indicator (ECBCS),https://www.investing.com/economic-calendar/gfk-consumer-confidence-330
,,Building Permits,Building Permits / dwellings,https://fred.stlouisfed.org/graph/fredgraph.csv?bgcolor=%23e1e9f0&chart_type=line&drp=0&fo=open%20sans&graph_bgcolor=%23ffffff&height=450&mode=fred&recession_bars=off&txtcolor=%23444444&ts=12&tts=12&width=1168&nt=0&thu=0&trc=0&show_legend=yes&show_axis_titles=yes&show_tooltip=yes&id=CANWSCNDW01IXOBSAM&scale=left&cosd=1960-01-01&coed=2019-05-01&line_color=%234572a7&link_values=false&line_style=solid&mark_type=none&mw=3&lw=2&ost=-99999&oet=99999&mma=0&fml=a&fq=Monthly&fam=avg&fgst=lin&fgsnd=2009-06-01&line_index=1&transformation=lin&vintage_date=2019-12-28&revision_date=2019-12-28&nd=1960-01-01
Money Supply,,Broad Money M2,M2 Broad Money (current LCU),https://www.quandl.com/api/v3/datasets/OECD/MEI_FIN_MABM_CAN_M.xml?api_key=VisDzHjR9F8hyHG35baj
Interest Rates,,Interest Rates %,Bank interest rate Decision - QUANDL,https://fred.stlouisfed.org/graph/fredgraph.csv?bgcolor=%23e1e9f0&chart_type=line&drp=0&fo=open%20sans&graph_bgcolor=%23ffffff&height=450&mode=fred&recession_bars=off&txtcolor=%23444444&ts=12&tts=12&width=1168&nt=0&thu=0&trc=0&show_legend=yes&show_axis_titles=yes&show_tooltip=yes&id=IRSTCB01CAM156N&scale=left&cosd=1960-01-01&coed=2019-07-01&line_color=%234572a7&link_values=false&line_style=solid&mark_type=none&mw=3&lw=2&ost=-99999&oet=99999&mma=0&fml=a&fq=Monthly&fam=avg&fgst=lin&fgsnd=2009-06-01&line_index=1&transformation=lin&vintage_date=2019-12-28&revision_date=2019-12-28&nd=1960-01-01
Inflation,,Consumer and Business Inflation,CPI (Inflation Rates),https://www.quandl.com/api/v3/datasets/RATEINF/CPI_CAN.xml?api_key=VisDzHjR9F8hyHG35baj
,,Consumer and Business Inflation,PPI,https://fred.stlouisfed.org/graph/fredgraph.csv?bgcolor=%23e1e9f0&chart_type=line&drp=0&fo=open%20sans&graph_bgcolor=%23ffffff&height=450&mode=fred&recession_bars=off&txtcolor=%23444444&ts=12&tts=12&width=1168&nt=0&thu=0&trc=0&show_legend=yes&show_axis_titles=yes&show_tooltip=yes&id=PIEAMP01CAM661N&scale=left&cosd=1960-01-01&coed=2019-05-01&line_color=%234572a7&link_values=false&line_style=solid&mark_type=none&mw=3&lw=2&ost=-99999&oet=99999&mma=0&fml=a&fq=Monthly&fam=avg&fgst=lin&fgsnd=2009-06-01&line_index=1&transformation=lin&vintage_date=2019-12-28&revision_date=2019-12-28&nd=1960-01-01
Employment,,Employment,Total Labor Force (OECD),https://www.quandl.com/api/v3/datasets/OECD/ALFS_SUMTAB_CAN_YGTT07L1_ST_A.xml?api_key=VisDzHjR9F8hyHG35baj
,,Central Government Debt to GDP Ratio % (IMF),Total Labor Force (OECD),https://www.quandl.com/api/v3/datasets/ODA/CAN_GGXWDG_NGDP.xml?api_key=VisDzHjR9F8hyHG35baj
,,Central Government Revenue,Central Government Revenue as % of GDP (IMF),https://www.quandl.com/api/v3/datasets/ODA/CAN_GGR_NGDP.xml?api_key=VisDzHjR9F8hyHG35baj
