Driver Analysis,,Driver,Code,Source
Leading Indicators Surveys,,PMI Manufacturing Index,PMI Manufacturing Index (Markit),https://www.investing.com/economic-calendar/chinese-manufacturing-pmi-594
,,NMI Non Manufacturing Index,PMI Non Manufacturing Index (Markit),https://www.investing.com/economic-calendar/chinese-non-manufacturing-pmi-831
,,Consumer Sentiment Index,Consumer Confidence Indicator (ECBCS),https://www.quandl.com/api/v3/datasets/OECD/KEI_CSCICP02_CHN_ST_M.xml?api_key=VisDzHjR9F8hyHG35baj
,,Building Permits,Building Permits,https://www.quandl.com/api/v3/datasets/NBSC/A140403_M.xml?api_key=VisDzHjR9F8hyHG35baj
Money Supply,,Broad Money M2,M2 Broad Money (current LCU),https://fred.stlouisfed.org/graph/fredgraph.csv?bgcolor=%23e1e9f0&chart_type=line&drp=0&fo=open%20sans&graph_bgcolor=%23ffffff&height=450&mode=fred&recession_bars=off&txtcolor=%23444444&ts=12&tts=12&width=1168&nt=0&thu=0&trc=0&show_legend=yes&show_axis_titles=yes&show_tooltip=yes&id=MYAGM2CNM189N&scale=left&cosd=1998-12-01&coed=2019-05-01&line_color=%234572a7&link_values=false&line_style=solid&mark_type=none&mw=3&lw=2&ost=-99999&oet=99999&mma=0&fml=a&fq=Monthly&fam=avg&fgst=lin&fgsnd=2009-06-01&line_index=1&transformation=lin&vintage_date=2019-12-28&revision_date=2019-12-28&nd=1998-12-01
Interest Rates,,Interest Rates %,Bank interest rate Decision - QUANDL,https://fred.stlouisfed.org/graph/fredgraph.csv?bgcolor=%23e1e9f0&chart_type=line&drp=0&fo=open%20sans&graph_bgcolor=%23ffffff&height=450&mode=fred&recession_bars=off&txtcolor=%23444444&ts=12&tts=12&width=1168&nt=0&thu=0&trc=0&show_legend=yes&show_axis_titles=yes&show_tooltip=yes&id=IRSTCB01CNM156N&scale=left&cosd=1990-03-01&coed=2019-06-01&line_color=%234572a7&link_values=false&line_style=solid&mark_type=none&mw=3&lw=2&ost=-99999&oet=99999&mma=0&fml=a&fq=Monthly&fam=avg&fgst=lin&fgsnd=2009-06-01&line_index=1&transformation=lin&vintage_date=2019-12-28&revision_date=2019-12-28&nd=1990-03-01
Inflation,,Consumer and Business Inflation,CPI (Inflation Rates),https://fred.stlouisfed.org/graph/fredgraph.csv?bgcolor=%23e1e9f0&chart_type=line&drp=0&fo=open%20sans&graph_bgcolor=%23ffffff&height=450&mode=fred&recession_bars=off&txtcolor=%23444444&ts=12&tts=12&width=1168&nt=0&thu=0&trc=0&show_legend=yes&show_axis_titles=yes&show_tooltip=yes&id=CHNCPALTT01IXNBM&scale=left&cosd=1993-01-01&coed=2019-05-01&line_color=%234572a7&link_values=false&line_style=solid&mark_type=none&mw=3&lw=2&ost=-99999&oet=99999&mma=0&fml=a&fq=Monthly&fam=avg&fgst=lin&fgsnd=2009-06-01&line_index=1&transformation=lin&vintage_date=2019-12-28&revision_date=2019-12-28&nd=1993-01-01
,,Consumer and Business Inflation,PPI (Services),https://www.quandl.com/api/v3/datasets/NBSC/A190109_M.xml?api_key=VisDzHjR9F8hyHG35baj
Employment,,Employment,Total Labor Force (OECD),https://www.quandl.com/api/v3/datasets/WWDI/CHN_SL_TLF_TOTL_IN.xml?api_key=VisDzHjR9F8hyHG35baj
,,Central Government Debt to GDP Ratio % (IMF),Total Labor Force (OECD),https://www.quandl.com/api/v3/datasets/ODA/CHN_GGXWDG_NGDP.xml?api_key=VisDzHjR9F8hyHG35baj
,,Central Government Revenue,Central Government Revenue as % of GDP (IMF),https://www.quandl.com/api/v3/datasets/ODA/CHN_GGR_NGDP.xml?api_key=VisDzHjR9F8hyHG35baj
