Driver Analysis,,Driver,Code,Source
Leading Indicators Surveys,,PMI Manufacturing Index,PMI Manifacturing Index (Markit),https://www.investing.com/economic-calendar/manufacturing-pmi-202
,,Consumer Sentiment Index,Consumer Confidence Indicator (ECBCS),https://www.esri.cao.go.jp/en/stat/shouhi/shouhi2.xlsx
,,Building Permits,Building Permits,https://fred.stlouisfed.org/graph/fredgraph.csv?bgcolor=%23e1e9f0&chart_type=line&drp=0&fo=open%20sans&graph_bgcolor=%23ffffff&height=450&mode=fred&recession_bars=off&txtcolor=%23444444&ts=12&tts=12&width=1168&nt=0&thu=0&trc=0&show_legend=yes&show_axis_titles=yes&show_tooltip=yes&id=WSCNDW01JPQ661S&scale=left&cosd=1960-01-01&coed=2019-01-01&line_color=%234572a7&link_values=false&line_style=solid&mark_type=none&mw=3&lw=2&ost=-99999&oet=99999&mma=0&fml=a&fq=Quarterly&fam=avg&fgst=lin&fgsnd=2009-06-01&line_index=1&transformation=lin&vintage_date=2019-12-28&revision_date=2019-12-28&nd=1960-01-01
Money Supply,,Broad Money M2,M2 Broad Money (current LCU),https://www.quandl.com/api/v3/datasets/OECD/MEI_FIN_MABM_JPN_M.xml?api_key=VisDzHjR9F8hyHG35baj
Interest Rates,,Interest Rates %,Bank interest rate Decision - QUANDL,https://fred.stlouisfed.org/graph/fredgraph.csv?bgcolor=%23e1e9f0&chart_type=line&drp=0&fo=open%20sans&graph_bgcolor=%23ffffff&height=450&mode=fred&recession_bars=off&txtcolor=%23444444&ts=12&tts=12&width=1168&nt=0&thu=0&trc=0&show_legend=yes&show_axis_titles=yes&show_tooltip=yes&id=IRSTCI01JPM156N&scale=left&cosd=1985-07-01&coed=2019-07-01&line_color=%234572a7&link_values=false&line_style=solid&mark_type=none&mw=3&lw=2&ost=-99999&oet=99999&mma=0&fml=a&fq=Monthly&fam=avg&fgst=lin&fgsnd=2009-06-01&line_index=1&transformation=lin&vintage_date=2019-12-28&revision_date=2019-08-21&nd=1985-07-01
Inflation,,Consumer and Business Inflation,CPI (Inflation Rates),https://www.quandl.com/api/v3/datasets/RATEINF/CPI_JPN.xml?api_key=VisDzHjR9F8hyHG35baj
,,Consumer and Business Inflation,PPI (Services),https://www.quandl.com/api/v3/datasets/BOJ/PRCS10_5200000000.xml?api_key=VisDzHjR9F8hyHG35baj
Employment,,Employment,Total Labor Force (OECD),https://www.quandl.com/api/v3/datasets/OECD/ALFS_SUMTAB_JPN_YGTT07L1_ST_A.xml?api_key=VisDzHjR9F8hyHG35baj
Balance Sheets and Sovereign Risk,,Central Government Debt to GDP,Central Government Debt to GDP Ratio % (IMF),https://www.quandl.com/api/v3/datasets/ODA/JPN_GGXWDG_NGDP.xml?api_key=VisDzHjR9F8hyHG35baj
,,Central Government Revenue,Central Government Revenue as % of GDP (IMF),https://www.quandl.com/api/v3/datasets/ODA/JPN_GGXWDG_NGDP.xml?api_key=VisDzHjR9F8hyHG35baj
