GDP Growth Change,,,,,,,,,,,,,,,,
GDP QUARTERLY,,,,GDP YEARLY (USD),,GDP YEARLY (EURO and the Baltics),,,Descriptive Statistics Quarterly,,,Standard Dev,Upper,Lower,,
DATE,CLVMNACSCAB1GQSE,% QT Change ,% QT Annualised ,Date,Value,Date,Value,% Yearly Change ,,,,1,12.77%,7.25%,,
01/01/2019,1072579,0.035%,0.42%,31/12/2024,725.108,31/12/2024,5218.94,2.02%,Mean,7.88%,,2,17.66%,7.02%,,
01/10/2018,1072203.5,1.163%,13.95%,31/12/2023,682.207,31/12/2023,5115.52,2.02%,Standard Error,0.96%,,3,22.54%,6.78%,,
01/07/2018,1059881.3,-0.467%,-5.60%,31/12/2022,643.145,31/12/2022,5014.45,2.02%,Median,8.74%,,,,,,
01/04/2018,1064852.9,0.639%,7.67%,31/12/2021,605.789,31/12/2021,4915.33,1.87%,Mode,#N/A,,Standard Dev,Actual,Actual %,Normal,Normal %
01/01/2018,1058088.1,0.756%,9.07%,31/12/2020,576.72,31/12/2020,4825.13,1.78%,Standard Deviation,9.78%,,1,33,31.73%,70.93,68.20%
01/10/2017,1050152.7,0.129%,1.54%,31/12/2019,547.123,31/12/2019,4740.9,1.17%,Sample Variance,0.96%,,2,52,50.00%,99.22,95.40%
01/07/2017,1048803.6,1.233%,14.80%,31/12/2018,551.135,31/12/2018,4686.05,2.34%,Kurtosis,9.22,,3,61,58.65%,103.79,99.80%
01/04/2017,1036028.6,1.187%,14.24%,2017-12-31,535.607,31/12/2017,4578.83,2.10%,Skewness,-1.34,,,,,,
01/01/2017,1023876.2,0.403%,4.84%,31/12/2016,512.205,31/12/2016,4484.45,2.68%,Range,0.8866428846,,,,,,
01/10/2016,1019764.7,0.596%,7.15%,31/12/2015,498.118,31/12/2015,4367.23,4.46%,Minimum,-46.09%,,,,,,
01/07/2016,1013725.4,0.443%,5.32%,31/12/2014,574.413,31/12/2014,4180.91,2.60%,Maximum,42.58%,,,,,,
01/04/2016,1009254.2,0.112%,1.34%,31/12/2013,579.361,31/12/2013,4074.88,1.24%,Sum,819.42%,,,,,,
01/01/2016,1008126.8,0.186%,2.23%,31/12/2012,544.482,31/12/2012,4025.04,-0.30%,Count,104,,,,,,
01/10/2015,1006257,0.846%,10.15%,31/12/2011,563.797,31/12/2011,4037.09,2.68%,Bin,Frequency,,,,,,
01/07/2015,997813.3,1.343%,16.11%,31/12/2010,488.909,31/12/2010,3931.75,5.99%,-0.14,2,,,,,,
01/04/2015,984592.4,0.974%,11.68%,31/12/2009,430.113,31/12/2009,3709.48,-5.20%,-0.12,0,,,,,,
01/01/2015,975098.6,1.289%,15.47%,31/12/2008,514.585,31/12/2008,3912.79,-0.56%,-0.1,0,,,,,,
01/10/2014,962687.6,0.843%,10.11%,31/12/2007,488.4,31/12/2007,3934.7,3.41%,-0.08,0,,,,,,
01/07/2014,954644.1,0.670%,8.04%,31/12/2006,420.538,31/12/2006,3805.02,4.70%,-0.06,1,,,,,,
01/04/2014,948291.7,0.904%,10.85%,31/12/2005,389.489,31/12/2005,3634.23,2.82%,-0.04,4,,,,,,
01/01/2014,939793.5,0.700%,8.40%,31/12/2004,382.154,31/12/2004,3534.67,4.31%,-0.02,3,,,,,,
01/10/2013,933260.8,0.912%,10.94%,31/12/2003,331.531,31/12/2003,3388.6,2.36%,0,2,,,,,,
01/07/2013,924830.3,0.449%,5.38%,31/12/2002,264.345,31/12/2002,3310.48,2.08%,0.02,10,,,,,,
01/04/2013,920700.4,-0.109%,-1.30%,31/12/2001,240.283,31/12/2001,3243.17,1.57%,0.04,11,,,,,,
01/01/2013,921701.2,1.109%,13.31%,31/12/2000,260.157,31/12/2000,3192.93,4.75%,0.06,18,,,,,,
01/10/2012,911589.2,-0.445%,-5.34%,31/12/1999,271.176,31/12/1999,3048.27,4.49%,0.08,17,,,,,,
01/07/2012,915666.3,-0.281%,-3.37%,31/12/1998,267.225,31/12/1998,2917.38,4.24%,0.1,16,,,,,,
01/04/2012,918243.2,0.114%,1.37%,31/12/1997,264.834,31/12/1997,2798.69,2.91%,0.12,5,,,,,,
01/01/2012,917199.2,0.194%,2.33%,31/12/1996,288.457,31/12/1996,2719.49,1.52%,0.14,5,,,,,,
01/10/2011,915425.4,-1.174%,-14.09%,31/12/1995,264.346,31/12/1995,2678.8,4.02%,0.16,2,,,,,,
01/07/2011,926304.3,1.034%,12.41%,31/12/1994,226.335,31/12/1994,2575.27,4.09%,0.18,0,,,,,,
01/04/2011,916825.5,0.089%,1.06%,31/12/1993,210.185,31/12/1993,2474.13,-1.85%,0.2,0,,,,,,
01/01/2011,916014.6,0.710%,8.53%,31/12/1992,279.382,31/12/1992,2520.66,-0.98%,0.22,0,,,,,,
01/10/2010,909552.3,1.531%,18.37%,31/12/1991,268.618,31/12/1991,2545.48,-1.03%,0.24,0,,,,,,
01/07/2010,895837.1,1.011%,12.14%,31/12/1990,255.94,31/12/1990,2571.88,0.80%,0.26,0,,,,,,
01/04/2010,886866.6,1.786%,21.43%,31/12/1989,213.054,31/12/1989,2551.48,2.46%,0.28,0,,,,,,
